id,Duration in months,Credit history,Purpose of the credit,Credit amount,Status of savings account/bonds,Present employment(years),Installment rate in percentage of disposable income,personal_status,Other debtors / guarantors,Present residence since X years,Property,Age in years,Other installment plans (banks/stores),Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,Foreign worker,Status of existing checking account
1365,50,critical/other existing credit,education,16985,100<=X<500,unemployed,1,male single,co applicant,3,car,44,stores,own,1,high qualif/self emp/mgmt,1,none,no,good
1366,71,all paid,repairs,2879,>=1000,>=7,3,female div/dep/mar,guarantor,2,life insurance,42,bank,rent,2,skilled,2,yes,no,good
1367,8,all paid,new car,18174,no known savings,1<=X<4,3,male single,guarantor,3,car,44,none,own,4,high qualif/self emp/mgmt,1,none,yes,bad
1368,37,all paid,furniture/equipment,5173,>=1000,>=7,4,male mar/wid,none,1,no known property,52,none,own,1,unskilled resident,2,none,no,bad
1369,59,critical/other existing credit,other,808,100<=X<500,<1,4,female div/dep/mar,none,4,no known property,66,stores,for free,1,unskilled resident,2,none,no,good
1370,21,no credits/all paid,business,720,<100,<1,2,male mar/wid,co applicant,1,car,51,bank,for free,1,unemp/unskilled non res,2,none,yes,bad
1371,41,critical/other existing credit,business,13729,500<=X<1000,>=7,2,female div/dep/mar,co applicant,3,life insurance,60,stores,rent,3,skilled,1,none,yes,good
1372,18,existing paid,business,10174,100<=X<500,1<=X<4,3,female div/dep/mar,none,3,no known property,63,bank,own,4,skilled,1,none,yes,bad
1373,54,critical/other existing credit,retraining,15795,no known savings,>=7,2,female div/dep/mar,none,2,real estate,28,bank,own,2,high qualif/self emp/mgmt,2,yes,yes,good
1374,64,all paid,used car,13261,100<=X<500,4<=X<7,2,male div/sep,co applicant,4,car,25,stores,rent,3,unemp/unskilled non res,2,none,yes,good
1375,45,existing paid,other,2887,>=1000,>=7,3,male mar/wid,none,3,no known property,65,stores,rent,1,skilled,2,none,yes,good
1376,12,delayed previously,education,5814,>=1000,4<=X<7,4,male mar/wid,guarantor,2,car,75,stores,rent,1,skilled,1,none,yes,bad
1377,33,no credits/all paid,domestic appliance,9192,no known savings,unemployed,4,male mar/wid,co applicant,3,life insurance,46,bank,own,4,unemp/unskilled non res,2,yes,no,good
1378,59,delayed previously,new car,538,>=1000,4<=X<7,4,male mar/wid,none,4,no known property,65,bank,for free,2,unemp/unskilled non res,2,none,yes,bad
1379,16,delayed previously,new car,3641,100<=X<500,unemployed,2,male div/sep,co applicant,2,life insurance,56,stores,rent,2,high qualif/self emp/mgmt,2,none,no,bad
1380,44,critical/other existing credit,domestic appliance,3891,500<=X<1000,4<=X<7,4,male div/sep,guarantor,1,real estate,33,bank,own,3,high qualif/self emp/mgmt,2,yes,no,good
1381,17,delayed previously,domestic appliance,11811,>=1000,<1,4,female div/dep/mar,guarantor,3,car,29,bank,own,2,high qualif/self emp/mgmt,2,none,no,bad
1382,52,existing paid,used car,5830,<100,unemployed,3,male mar/wid,co applicant,4,car,23,bank,own,1,skilled,1,none,no,good
1383,5,delayed previously,education,1910,<100,unemployed,2,male div/sep,none,4,real estate,62,bank,own,2,unskilled resident,2,yes,no,good
1384,54,no credits/all paid,new car,1993,100<=X<500,1<=X<4,1,male single,none,2,no known property,57,stores,rent,3,unemp/unskilled non res,1,yes,yes,bad
1385,25,critical/other existing credit,retraining,2544,>=1000,4<=X<7,3,male div/sep,co applicant,2,no known property,64,bank,rent,3,high qualif/self emp/mgmt,2,none,no,good
1386,46,all paid,radio/tv,11865,no known savings,>=7,4,male single,none,2,no known property,43,stores,own,4,skilled,2,none,no,bad
1387,39,all paid,radio/tv,5906,<100,1<=X<4,4,female div/dep/mar,none,1,life insurance,60,bank,rent,4,unskilled resident,1,none,yes,good
1388,10,delayed previously,domestic appliance,15654,500<=X<1000,unemployed,2,male single,co applicant,2,car,46,none,for free,2,high qualif/self emp/mgmt,2,yes,no,bad
1389,38,all paid,domestic appliance,11970,>=1000,1<=X<4,3,female div/dep/mar,co applicant,2,car,19,stores,rent,4,high qualif/self emp/mgmt,1,yes,no,bad
1390,62,critical/other existing credit,used car,9530,<100,<1,3,male div/sep,guarantor,2,no known property,61,bank,own,2,unskilled resident,1,yes,yes,bad
1391,19,all paid,furniture/equipment,17106,500<=X<1000,1<=X<4,4,male mar/wid,none,2,real estate,56,none,own,1,high qualif/self emp/mgmt,2,yes,yes,bad
1392,32,all paid,domestic appliance,4130,100<=X<500,4<=X<7,3,male single,co applicant,1,life insurance,20,none,rent,2,skilled,1,none,yes,good
1393,11,all paid,business,4990,500<=X<1000,<1,1,male mar/wid,guarantor,1,real estate,30,bank,for free,2,skilled,2,none,no,good
1394,55,no credits/all paid,other,11259,>=1000,unemployed,3,female div/dep/mar,co applicant,3,no known property,66,none,for free,3,unskilled resident,2,none,yes,good
1395,4,all paid,retraining,4816,no known savings,<1,2,male single,guarantor,1,car,61,none,rent,3,skilled,2,yes,yes,bad
1396,9,delayed previously,education,14433,<100,4<=X<7,1,female div/dep/mar,guarantor,1,real estate,72,stores,for free,2,unemp/unskilled non res,1,none,yes,bad
1397,14,existing paid,domestic appliance,12589,100<=X<500,unemployed,3,male mar/wid,none,1,real estate,34,stores,own,2,unemp/unskilled non res,2,yes,yes,bad
1398,62,delayed previously,radio/tv,1844,<100,1<=X<4,4,male mar/wid,guarantor,2,no known property,61,stores,own,4,unemp/unskilled non res,1,yes,yes,bad
1399,67,all paid,new car,4920,no known savings,unemployed,1,male div/sep,guarantor,1,no known property,35,none,for free,2,unemp/unskilled non res,2,none,no,bad
1400,37,existing paid,domestic appliance,15423,100<=X<500,4<=X<7,1,male div/sep,none,1,no known property,36,stores,own,4,unskilled resident,2,yes,no,good
1401,59,delayed previously,other,10139,500<=X<1000,1<=X<4,1,male mar/wid,none,4,life insurance,38,bank,for free,2,unskilled resident,1,yes,no,bad
1402,40,existing paid,furniture/equipment,4570,100<=X<500,unemployed,3,male div/sep,co applicant,4,no known property,44,none,for free,2,skilled,1,none,no,good
1403,30,no credits/all paid,retraining,4322,<100,1<=X<4,3,male mar/wid,co applicant,3,no known property,27,bank,own,1,unemp/unskilled non res,2,none,no,bad
1404,69,all paid,furniture/equipment,15177,100<=X<500,unemployed,3,male mar/wid,none,1,real estate,64,none,rent,1,unemp/unskilled non res,2,yes,no,good
1405,39,all paid,domestic appliance,11655,no known savings,unemployed,3,female div/dep/mar,guarantor,1,real estate,41,stores,for free,3,unskilled resident,1,none,yes,bad
1406,63,delayed previously,repairs,5720,100<=X<500,<1,1,male div/sep,guarantor,4,no known property,35,bank,own,4,unskilled resident,1,yes,no,bad
1407,10,delayed previously,other,9126,<100,4<=X<7,3,female div/dep/mar,guarantor,3,real estate,66,none,for free,2,unskilled resident,1,yes,no,good
1408,56,no credits/all paid,education,7416,500<=X<1000,unemployed,3,male single,co applicant,3,no known property,24,stores,own,2,unskilled resident,2,none,yes,good
1409,8,critical/other existing credit,used car,13172,no known savings,unemployed,4,female div/dep/mar,none,4,life insurance,58,bank,rent,3,skilled,1,none,yes,bad
1410,14,all paid,radio/tv,4136,<100,>=7,2,male single,none,4,real estate,24,bank,for free,3,skilled,1,yes,yes,bad
1411,7,critical/other existing credit,domestic appliance,14287,no known savings,4<=X<7,1,male div/sep,guarantor,3,real estate,65,stores,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad
1412,25,existing paid,business,4813,>=1000,>=7,2,male single,co applicant,1,no known property,47,bank,rent,3,high qualif/self emp/mgmt,2,none,yes,good
1413,14,all paid,education,11748,>=1000,<1,1,male single,co applicant,2,car,49,none,own,2,unemp/unskilled non res,1,none,yes,bad
1414,47,delayed previously,business,12919,<100,4<=X<7,4,male mar/wid,guarantor,1,real estate,63,stores,for free,2,unemp/unskilled non res,1,none,no,good
1415,13,all paid,used car,10451,500<=X<1000,1<=X<4,4,male mar/wid,guarantor,2,life insurance,26,bank,for free,4,unskilled resident,1,yes,no,bad
1416,41,all paid,used car,12904,no known savings,>=7,4,male mar/wid,co applicant,4,real estate,59,stores,own,2,high qualif/self emp/mgmt,1,yes,yes,good
1417,59,delayed previously,furniture/equipment,13850,no known savings,<1,4,male mar/wid,guarantor,4,no known property,19,stores,own,2,unemp/unskilled non res,2,yes,no,bad
1418,23,all paid,furniture/equipment,17672,>=1000,unemployed,3,male div/sep,none,4,car,37,bank,for free,2,high qualif/self emp/mgmt,1,none,no,bad
1419,18,delayed previously,business,2171,100<=X<500,>=7,1,male div/sep,guarantor,3,real estate,42,bank,rent,1,skilled,1,yes,no,good
1420,33,no credits/all paid,repairs,14174,100<=X<500,>=7,4,male single,guarantor,2,car,55,bank,own,1,unskilled resident,2,none,yes,bad
1421,67,critical/other existing credit,new car,9360,>=1000,unemployed,2,male mar/wid,guarantor,4,no known property,61,stores,for free,1,high qualif/self emp/mgmt,2,yes,no,bad
1422,70,critical/other existing credit,retraining,11012,500<=X<1000,1<=X<4,2,male mar/wid,co applicant,3,life insurance,46,bank,rent,2,skilled,1,yes,no,bad
1423,68,existing paid,repairs,10798,<100,4<=X<7,1,male mar/wid,guarantor,1,life insurance,55,bank,rent,3,unskilled resident,2,none,yes,bad
1424,61,existing paid,business,5016,>=1000,>=7,3,male single,guarantor,4,car,26,stores,for free,2,unemp/unskilled non res,2,none,no,bad
1425,58,all paid,education,6284,>=1000,1<=X<4,2,male single,co applicant,4,life insurance,30,none,rent,2,unemp/unskilled non res,2,none,yes,bad
1426,36,critical/other existing credit,furniture/equipment,1386,100<=X<500,unemployed,4,male mar/wid,guarantor,4,real estate,34,bank,for free,1,skilled,2,none,no,good
1427,66,existing paid,education,2445,<100,1<=X<4,3,male div/sep,none,3,life insurance,44,bank,for free,2,unemp/unskilled non res,1,yes,yes,good
1428,26,all paid,radio/tv,17079,<100,unemployed,2,male mar/wid,co applicant,3,life insurance,38,stores,for free,3,unemp/unskilled non res,1,none,yes,bad
1429,27,delayed previously,repairs,7625,>=1000,>=7,3,male div/sep,guarantor,3,real estate,49,none,own,1,unemp/unskilled non res,1,none,no,good
1430,67,delayed previously,repairs,12352,100<=X<500,>=7,2,male mar/wid,co applicant,2,real estate,67,bank,for free,2,skilled,1,none,no,good
1431,49,critical/other existing credit,domestic appliance,2680,no known savings,>=7,1,male single,none,2,car,46,stores,for free,1,skilled,2,none,no,bad
1432,14,delayed previously,used car,8444,<100,>=7,1,female div/dep/mar,co applicant,4,no known property,61,bank,rent,3,high qualif/self emp/mgmt,2,none,no,good
1433,6,no credits/all paid,radio/tv,669,100<=X<500,<1,1,male div/sep,none,3,life insurance,37,bank,for free,1,unskilled resident,2,yes,no,bad
1434,13,existing paid,new car,13198,no known savings,1<=X<4,4,male single,co applicant,3,car,58,stores,for free,2,skilled,1,yes,yes,good
1435,60,delayed previously,domestic appliance,8469,500<=X<1000,<1,4,male mar/wid,guarantor,2,car,73,stores,own,3,skilled,1,none,yes,bad
1436,30,all paid,other,1815,no known savings,unemployed,1,female div/dep/mar,co applicant,3,car,35,stores,for free,2,unskilled resident,2,none,yes,bad
1437,37,no credits/all paid,used car,11292,100<=X<500,<1,4,female div/dep/mar,co applicant,4,life insurance,70,stores,rent,4,unemp/unskilled non res,2,none,no,good
1438,15,existing paid,domestic appliance,17424,no known savings,1<=X<4,2,male single,none,2,no known property,66,none,for free,4,unemp/unskilled non res,2,none,no,bad
1439,38,delayed previously,furniture/equipment,17067,no known savings,>=7,1,male mar/wid,guarantor,4,car,52,stores,for free,2,skilled,2,yes,yes,good
1440,18,delayed previously,education,13492,no known savings,<1,2,male single,guarantor,1,life insurance,68,none,own,1,unemp/unskilled non res,2,yes,no,good
1441,27,all paid,used car,1658,>=1000,1<=X<4,1,male mar/wid,guarantor,4,life insurance,52,bank,rent,3,high qualif/self emp/mgmt,1,none,no,good
1442,46,existing paid,domestic appliance,780,500<=X<1000,>=7,3,male single,guarantor,1,real estate,59,stores,rent,3,unskilled resident,1,none,yes,bad
1443,10,no credits/all paid,furniture/equipment,11326,no known savings,unemployed,1,female div/dep/mar,co applicant,1,real estate,70,stores,own,1,high qualif/self emp/mgmt,2,yes,yes,good
1444,21,critical/other existing credit,new car,14842,500<=X<1000,unemployed,4,male mar/wid,co applicant,2,life insurance,38,stores,own,2,unskilled resident,2,none,no,good
1445,36,all paid,domestic appliance,5739,500<=X<1000,unemployed,3,male single,co applicant,4,life insurance,47,stores,rent,1,skilled,1,yes,yes,bad
1446,61,no credits/all paid,other,15544,<100,4<=X<7,4,female div/dep/mar,guarantor,3,car,45,none,for free,2,high qualif/self emp/mgmt,2,yes,no,good
1447,47,delayed previously,new car,10275,>=1000,<1,1,male div/sep,guarantor,1,real estate,48,none,own,2,unskilled resident,1,none,yes,bad
1448,67,no credits/all paid,domestic appliance,8553,>=1000,1<=X<4,2,male mar/wid,co applicant,3,real estate,20,bank,rent,1,high qualif/self emp/mgmt,2,yes,no,good
1449,54,delayed previously,education,8841,100<=X<500,<1,2,male div/sep,co applicant,4,life insurance,32,stores,own,2,unskilled resident,1,none,yes,good
1450,46,all paid,used car,15360,no known savings,4<=X<7,2,male mar/wid,guarantor,3,car,33,stores,rent,4,unskilled resident,1,none,yes,bad
1451,71,critical/other existing credit,business,11494,no known savings,4<=X<7,1,male single,guarantor,2,no known property,58,none,own,1,unskilled resident,1,none,no,good
1452,71,existing paid,used car,3337,100<=X<500,<1,2,female div/dep/mar,guarantor,3,life insurance,19,none,for free,1,skilled,1,yes,no,bad
1453,41,critical/other existing credit,used car,10170,100<=X<500,unemployed,3,male div/sep,guarantor,1,car,63,stores,rent,1,high qualif/self emp/mgmt,1,none,yes,bad
1454,45,critical/other existing credit,other,6930,<100,4<=X<7,2,male single,none,1,real estate,36,bank,for free,4,skilled,1,none,yes,bad
1455,37,critical/other existing credit,business,5085,100<=X<500,4<=X<7,4,male div/sep,none,1,no known property,26,bank,rent,4,high qualif/self emp/mgmt,1,yes,yes,bad
1456,9,delayed previously,education,10437,100<=X<500,>=7,3,male div/sep,none,2,car,47,bank,for free,1,unemp/unskilled non res,2,none,yes,bad
1457,57,critical/other existing credit,education,6782,>=1000,>=7,1,female div/dep/mar,co applicant,2,real estate,47,stores,for free,1,high qualif/self emp/mgmt,1,yes,no,bad
1458,56,delayed previously,business,10003,500<=X<1000,<1,4,male mar/wid,co applicant,4,real estate,44,none,own,1,unskilled resident,1,none,yes,good
1459,34,all paid,used car,347,100<=X<500,1<=X<4,4,male mar/wid,guarantor,2,no known property,45,stores,rent,3,unskilled resident,1,yes,no,bad
1460,64,existing paid,business,4976,>=1000,4<=X<7,3,male single,none,2,car,74,none,rent,1,skilled,2,yes,no,good
1461,38,delayed previously,used car,11349,500<=X<1000,1<=X<4,3,male single,co applicant,3,no known property,33,bank,own,2,high qualif/self emp/mgmt,2,yes,yes,good
1462,44,no credits/all paid,furniture/equipment,11903,no known savings,<1,2,male div/sep,co applicant,4,life insurance,40,stores,own,2,unemp/unskilled non res,2,none,no,good
1463,69,critical/other existing credit,repairs,2749,500<=X<1000,>=7,3,male div/sep,guarantor,2,car,23,stores,own,3,unemp/unskilled non res,2,yes,yes,bad
1464,47,critical/other existing credit,furniture/equipment,11528,500<=X<1000,4<=X<7,3,male div/sep,guarantor,1,life insurance,53,stores,for free,3,unskilled resident,2,yes,yes,bad
1465,17,critical/other existing credit,new car,8553,>=1000,unemployed,2,male mar/wid,co applicant,2,car,23,stores,for free,1,unemp/unskilled non res,2,none,no,bad
1466,70,critical/other existing credit,radio/tv,13148,no known savings,1<=X<4,1,male div/sep,none,3,real estate,63,none,for free,3,skilled,1,none,no,bad
1467,53,delayed previously,furniture/equipment,10736,<100,<1,2,male single,co applicant,2,no known property,68,bank,for free,3,unemp/unskilled non res,2,yes,yes,bad
1468,53,critical/other existing credit,other,15343,100<=X<500,1<=X<4,4,male div/sep,none,2,car,66,bank,own,1,skilled,1,yes,yes,good
1469,43,no credits/all paid,education,804,<100,<1,4,female div/dep/mar,co applicant,2,no known property,19,stores,rent,3,unskilled resident,1,none,no,bad
1470,38,delayed previously,other,13345,<100,4<=X<7,3,female div/dep/mar,co applicant,1,life insurance,39,bank,rent,1,unemp/unskilled non res,2,yes,yes,good
1471,25,delayed previously,domestic appliance,8194,500<=X<1000,<1,3,male mar/wid,none,2,no known property,68,bank,for free,1,unemp/unskilled non res,1,yes,no,good
1472,61,all paid,education,4464,no known savings,1<=X<4,3,male div/sep,co applicant,1,real estate,64,bank,rent,3,skilled,2,none,yes,bad
1473,30,critical/other existing credit,radio/tv,10234,no known savings,<1,2,male mar/wid,guarantor,1,no known property,24,bank,rent,2,unskilled resident,2,none,no,bad
1474,57,no credits/all paid,other,760,500<=X<1000,4<=X<7,2,female div/dep/mar,none,3,real estate,25,stores,rent,4,unemp/unskilled non res,2,none,yes,good
1475,39,all paid,radio/tv,4834,500<=X<1000,1<=X<4,4,female div/dep/mar,none,2,life insurance,53,none,own,4,unskilled resident,2,none,yes,bad
1476,35,delayed previously,education,4740,500<=X<1000,>=7,1,female div/dep/mar,none,4,real estate,67,none,rent,4,high qualif/self emp/mgmt,1,yes,no,bad
1477,47,all paid,radio/tv,12085,no known savings,<1,3,female div/dep/mar,co applicant,3,life insurance,46,stores,rent,1,unskilled resident,1,none,no,bad
1478,40,delayed previously,used car,10823,no known savings,<1,1,male mar/wid,guarantor,1,real estate,56,bank,rent,2,high qualif/self emp/mgmt,2,yes,no,good
1479,19,delayed previously,radio/tv,364,<100,>=7,2,male div/sep,guarantor,3,real estate,48,stores,rent,2,unemp/unskilled non res,2,yes,yes,bad
1480,12,delayed previously,used car,2433,<100,1<=X<4,2,male single,guarantor,3,real estate,33,bank,rent,3,skilled,1,yes,yes,bad
1481,43,all paid,business,17172,no known savings,<1,2,male mar/wid,guarantor,2,life insurance,21,stores,own,1,unskilled resident,2,none,no,bad
1482,25,delayed previously,radio/tv,12063,>=1000,unemployed,1,female div/dep/mar,guarantor,2,real estate,72,stores,own,2,skilled,2,none,yes,good
1483,48,no credits/all paid,retraining,14243,500<=X<1000,1<=X<4,1,female div/dep/mar,guarantor,1,car,22,none,for free,1,high qualif/self emp/mgmt,1,yes,no,good
1484,65,critical/other existing credit,business,17810,500<=X<1000,<1,3,male mar/wid,none,2,no known property,65,stores,own,3,unskilled resident,2,none,no,good
1485,48,existing paid,used car,17294,500<=X<1000,<1,2,male single,guarantor,2,no known property,49,none,own,4,high qualif/self emp/mgmt,1,yes,yes,good
1486,12,critical/other existing credit,repairs,2834,500<=X<1000,<1,2,male mar/wid,guarantor,1,life insurance,20,stores,own,2,high qualif/self emp/mgmt,2,yes,yes,good
1487,39,existing paid,domestic appliance,6192,no known savings,<1,4,male single,none,2,life insurance,27,bank,own,2,unskilled resident,2,none,no,bad
1488,16,all paid,domestic appliance,14392,>=1000,<1,1,male div/sep,guarantor,2,real estate,57,stores,for free,1,skilled,2,none,yes,good
1489,68,existing paid,radio/tv,9118,100<=X<500,4<=X<7,4,male single,guarantor,1,car,60,none,rent,2,unemp/unskilled non res,1,yes,yes,bad
1490,52,critical/other existing credit,domestic appliance,15489,>=1000,>=7,4,male single,guarantor,2,car,39,bank,rent,2,unskilled resident,2,yes,yes,good
1491,40,no credits/all paid,repairs,2299,500<=X<1000,<1,1,male div/sep,guarantor,2,no known property,70,none,for free,3,unskilled resident,2,yes,no,good
1492,9,all paid,furniture/equipment,14947,500<=X<1000,<1,4,male single,none,1,real estate,56,stores,for free,3,high qualif/self emp/mgmt,1,none,no,bad
1493,58,no credits/all paid,radio/tv,10381,<100,<1,2,male mar/wid,co applicant,2,no known property,43,bank,own,2,skilled,2,none,no,good
1494,64,no credits/all paid,radio/tv,13092,500<=X<1000,>=7,3,male mar/wid,co applicant,2,no known property,21,stores,own,3,unemp/unskilled non res,2,yes,yes,bad
1495,51,existing paid,used car,4383,100<=X<500,<1,3,female div/dep/mar,none,3,no known property,46,stores,for free,4,unskilled resident,1,none,no,good
1496,35,no credits/all paid,education,14674,>=1000,<1,2,male div/sep,guarantor,3,life insurance,66,stores,own,2,unemp/unskilled non res,1,yes,no,good
1497,47,all paid,education,1226,100<=X<500,unemployed,1,male single,co applicant,1,real estate,55,none,rent,2,unemp/unskilled non res,2,yes,no,good
1498,25,delayed previously,repairs,5436,<100,<1,4,female div/dep/mar,guarantor,1,no known property,26,stores,own,4,unskilled resident,1,yes,no,good
1499,28,delayed previously,repairs,1251,>=1000,<1,4,female div/dep/mar,none,2,life insurance,65,stores,rent,2,unskilled resident,1,yes,yes,bad
1500,17,delayed previously,used car,13858,<100,<1,1,female div/dep/mar,none,4,no known property,68,stores,own,3,skilled,2,none,no,good
1501,34,critical/other existing credit,domestic appliance,2152,100<=X<500,unemployed,2,male single,guarantor,1,no known property,42,bank,rent,2,skilled,1,yes,yes,bad
1502,54,no credits/all paid,furniture/equipment,6521,<100,<1,2,male single,co applicant,4,no known property,72,stores,rent,3,high qualif/self emp/mgmt,1,none,no,good
1503,57,delayed previously,domestic appliance,18160,100<=X<500,1<=X<4,1,female div/dep/mar,guarantor,1,no known property,36,none,own,3,unskilled resident,2,yes,yes,good
1504,56,critical/other existing credit,radio/tv,587,500<=X<1000,<1,1,male single,guarantor,1,life insurance,69,none,for free,3,unemp/unskilled non res,1,none,no,good
1505,25,existing paid,business,3545,500<=X<1000,unemployed,2,female div/dep/mar,none,3,car,39,stores,own,2,high qualif/self emp/mgmt,1,none,yes,good
1506,17,critical/other existing credit,radio/tv,13784,<100,unemployed,2,female div/dep/mar,co applicant,4,real estate,74,stores,own,1,unemp/unskilled non res,1,yes,no,good
1507,51,critical/other existing credit,used car,3153,100<=X<500,>=7,3,male div/sep,guarantor,2,car,22,none,rent,2,unemp/unskilled non res,2,yes,no,bad
1508,32,no credits/all paid,new car,14976,no known savings,>=7,2,male single,co applicant,1,no known property,75,none,for free,1,unskilled resident,1,yes,no,bad
1509,29,existing paid,business,14635,100<=X<500,<1,1,male div/sep,none,4,real estate,46,none,own,2,high qualif/self emp/mgmt,2,yes,no,good
1510,49,critical/other existing credit,used car,570,<100,1<=X<4,1,male single,guarantor,4,real estate,36,bank,own,3,unskilled resident,2,none,yes,good
1511,55,critical/other existing credit,furniture/equipment,3736,<100,<1,4,female div/dep/mar,guarantor,4,car,33,none,for free,4,unemp/unskilled non res,1,none,no,good
1512,28,existing paid,used car,11139,100<=X<500,4<=X<7,3,male div/sep,guarantor,3,car,67,none,own,2,skilled,2,yes,yes,bad
1513,64,critical/other existing credit,furniture/equipment,12150,100<=X<500,>=7,2,male div/sep,none,1,life insurance,57,stores,own,4,unskilled resident,2,yes,no,bad
1514,39,critical/other existing credit,repairs,8351,>=1000,<1,4,female div/dep/mar,co applicant,1,life insurance,28,none,own,3,skilled,2,none,yes,good
1515,41,existing paid,used car,6203,100<=X<500,unemployed,2,male div/sep,none,4,no known property,36,stores,rent,2,unskilled resident,1,yes,yes,bad
1516,60,no credits/all paid,repairs,17151,<100,4<=X<7,2,female div/dep/mar,guarantor,2,life insurance,35,none,own,3,unemp/unskilled non res,2,yes,yes,bad
1517,23,delayed previously,domestic appliance,547,>=1000,1<=X<4,4,female div/dep/mar,co applicant,2,no known property,70,bank,for free,2,high qualif/self emp/mgmt,1,yes,no,good
1518,61,delayed previously,domestic appliance,13433,500<=X<1000,>=7,3,male mar/wid,co applicant,2,real estate,61,bank,rent,3,unskilled resident,2,none,no,good
1519,58,all paid,other,1765,>=1000,1<=X<4,3,male div/sep,none,4,car,62,bank,own,4,unemp/unskilled non res,2,yes,yes,good
1520,27,existing paid,repairs,13418,no known savings,>=7,1,female div/dep/mar,guarantor,1,car,49,none,for free,4,high qualif/self emp/mgmt,1,none,yes,bad
1521,34,all paid,used car,8745,500<=X<1000,4<=X<7,3,male mar/wid,none,3,life insurance,39,bank,rent,3,high qualif/self emp/mgmt,1,none,yes,bad
1522,44,critical/other existing credit,education,786,500<=X<1000,4<=X<7,2,female div/dep/mar,co applicant,4,life insurance,19,bank,rent,2,unemp/unskilled non res,1,yes,no,bad
1523,12,critical/other existing credit,other,2612,no known savings,unemployed,1,male div/sep,none,4,life insurance,47,bank,for free,2,unskilled resident,2,yes,no,good
1524,34,delayed previously,repairs,14077,<100,4<=X<7,2,male single,co applicant,3,life insurance,25,bank,own,4,high qualif/self emp/mgmt,2,yes,no,bad
1525,29,delayed previously,other,5719,500<=X<1000,<1,2,female div/dep/mar,none,3,no known property,27,none,own,1,skilled,2,yes,no,good
1526,62,existing paid,education,14741,>=1000,unemployed,4,female div/dep/mar,co applicant,3,life insurance,37,bank,own,2,high qualif/self emp/mgmt,1,none,no,bad
1527,30,all paid,repairs,6899,no known savings,unemployed,2,male mar/wid,co applicant,1,car,39,stores,own,1,skilled,2,none,yes,bad
1528,8,existing paid,other,13498,no known savings,4<=X<7,3,female div/dep/mar,guarantor,2,car,47,bank,rent,2,unskilled resident,1,none,no,good
1529,25,existing paid,radio/tv,5323,500<=X<1000,4<=X<7,2,male mar/wid,co applicant,2,car,36,bank,for free,4,skilled,1,yes,no,bad
1530,52,no credits/all paid,used car,16643,500<=X<1000,1<=X<4,4,male div/sep,guarantor,4,real estate,73,stores,for free,3,unskilled resident,1,yes,yes,bad
1531,40,delayed previously,business,3247,no known savings,1<=X<4,2,male single,none,1,life insurance,35,stores,rent,3,skilled,2,yes,no,good
1532,61,no credits/all paid,business,3001,100<=X<500,<1,4,male mar/wid,guarantor,1,life insurance,53,bank,rent,3,unemp/unskilled non res,1,none,no,good
1533,18,existing paid,new car,15426,>=1000,unemployed,3,male div/sep,co applicant,3,no known property,36,none,rent,4,high qualif/self emp/mgmt,2,yes,yes,good
1534,67,delayed previously,repairs,4899,>=1000,4<=X<7,3,male div/sep,co applicant,2,car,34,stores,own,1,unskilled resident,2,yes,no,bad
1535,15,existing paid,repairs,9703,500<=X<1000,<1,1,male mar/wid,none,3,life insurance,39,bank,own,3,high qualif/self emp/mgmt,2,none,no,good
1536,22,delayed previously,used car,8839,500<=X<1000,<1,1,male div/sep,guarantor,4,car,28,none,for free,4,high qualif/self emp/mgmt,1,yes,no,good
1537,59,no credits/all paid,retraining,8711,no known savings,unemployed,4,male div/sep,co applicant,2,no known property,64,stores,own,3,skilled,1,yes,no,good
1538,70,delayed previously,furniture/equipment,8259,no known savings,4<=X<7,4,male single,co applicant,3,car,43,none,for free,1,unskilled resident,1,yes,no,good
1539,42,existing paid,new car,13081,500<=X<1000,4<=X<7,2,male mar/wid,guarantor,4,no known property,69,none,for free,4,unemp/unskilled non res,1,yes,yes,bad
1540,23,existing paid,education,15786,100<=X<500,unemployed,1,female div/dep/mar,none,2,life insurance,51,none,rent,3,unemp/unskilled non res,1,none,yes,bad
1541,48,critical/other existing credit,radio/tv,8378,<100,1<=X<4,4,male div/sep,co applicant,4,life insurance,47,bank,own,4,unemp/unskilled non res,1,none,no,good
1542,12,all paid,education,16636,>=1000,1<=X<4,2,male single,guarantor,2,real estate,53,none,own,2,unskilled resident,1,yes,no,bad
1543,57,no credits/all paid,retraining,5719,500<=X<1000,>=7,3,female div/dep/mar,guarantor,1,car,52,bank,rent,1,unskilled resident,2,none,no,good
1544,13,critical/other existing credit,repairs,9499,no known savings,<1,4,male div/sep,none,3,car,59,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad
1545,38,all paid,education,18207,100<=X<500,4<=X<7,4,male single,guarantor,3,car,34,none,own,1,unemp/unskilled non res,1,yes,no,good
1546,11,all paid,used car,7532,500<=X<1000,4<=X<7,2,male single,co applicant,2,no known property,72,stores,own,3,unemp/unskilled non res,1,yes,yes,good
1547,51,critical/other existing credit,used car,8990,<100,4<=X<7,4,male div/sep,guarantor,3,real estate,56,none,for free,3,high qualif/self emp/mgmt,2,yes,yes,good
